Occupation Group,Occupation Group Definition,Occupation,Occupation Definition,Rurality,Year,Supply,Fewer Graduates,More Graduates,Retire Early,Retire Late,Demand,Increased Insurance Coverage,Improved Population Health,Racial Equity,Improved Access (combination scenario),Geographic Parity,Percent Adequacy
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Community Health Workers,"Primarily work in underserved communities and are a resource to help advance goals of improved care coordination, health equity, and population health.",Total,2023,,,,,,"64,070",,,,,,N/A
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Community Health Workers,"Primarily work in underserved communities and are a resource to help advance goals of improved care coordination, health equity, and population health.",Total,2024,,,,,,"64,550",,,,,,N/A
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Community Health Workers,"Primarily work in underserved communities and are a resource to help advance goals of improved care coordination, health equity, and population health.",Total,2025,,,,,,"65,040",,,,,,N/A
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Community Health Workers,"Primarily work in underserved communities and are a resource to help advance goals of improved care coordination, health equity, and population health.",Total,2026,,,,,,"65,530",,,,,,N/A
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Community Health Workers,"Primarily work in underserved communities and are a resource to help advance goals of improved care coordination, health equity, and population health.",Total,2027,,,,,,"66,050",,,,,,N/A
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Community Health Workers,"Primarily work in underserved communities and are a resource to help advance goals of improved care coordination, health equity, and population health.",Total,2028,,,,,,"66,570",,,,,,N/A
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Community Health Workers,"Primarily work in underserved communities and are a resource to help advance goals of improved care coordination, health equity, and population health.",Total,2029,,,,,,"67,080",,,,,,N/A
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Community Health Workers,"Primarily work in underserved communities and are a resource to help advance goals of improved care coordination, health equity, and population health.",Total,2030,,,,,,"67,560",,,,,,N/A
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Emergency Medical Technicians and Paramedics,Provide care to ill or injured people in emergency medical settings and are a vital component of the nation’s Emergency Medical Services (EMS) system. They also help transport patients from a hospital to another hospital or other care setting.,Total,2016,,,,,,"262,340",,,,,,N/A
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Emergency Medical Technicians and Paramedics,Provide care to ill or injured people in emergency medical settings and are a vital component of the nation’s Emergency Medical Services (EMS) system. They also help transport patients from a hospital to another hospital or other care setting.,Total,2017,,,,,,"266,340",,,,,,N/A
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Emergency Medical Technicians and Paramedics,Provide care to ill or injured people in emergency medical settings and are a vital component of the nation’s Emergency Medical Services (EMS) system. They also help transport patients from a hospital to another hospital or other care setting.,Total,2018,,,,,,"269,370",,,,,,N/A
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Emergency Medical Technicians and Paramedics,Provide care to ill or injured people in emergency medical settings and are a vital component of the nation’s Emergency Medical Services (EMS) system. They also help transport patients from a hospital to another hospital or other care setting.,Total,2019,,,,,,"272,290",,,,,,N/A
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Emergency Medical Technicians and Paramedics,Provide care to ill or injured people in emergency medical settings and are a vital component of the nation’s Emergency Medical Services (EMS) system. They also help transport patients from a hospital to another hospital or other care setting.,Total,2020,,,,,,"275,180",,,,,,N/A
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Emergency Medical Technicians and Paramedics,Provide care to ill or injured people in emergency medical settings and are a vital component of the nation’s Emergency Medical Services (EMS) system. They also help transport patients from a hospital to another hospital or other care setting.,Total,2021,,,,,,"278,020",,,,,,N/A
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Emergency Medical Technicians and Paramedics,Provide care to ill or injured people in emergency medical settings and are a vital component of the nation’s Emergency Medical Services (EMS) system. They also help transport patients from a hospital to another hospital or other care setting.,Total,2022,,,,,,"281,470",,,,,,N/A
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Emergency Medical Technicians and Paramedics,Provide care to ill or injured people in emergency medical settings and are a vital component of the nation’s Emergency Medical Services (EMS) system. They also help transport patients from a hospital to another hospital or other care setting.,Total,2023,,,,,,"284,690",,,,,,N/A
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Emergency Medical Technicians and Paramedics,Provide care to ill or injured people in emergency medical settings and are a vital component of the nation’s Emergency Medical Services (EMS) system. They also help transport patients from a hospital to another hospital or other care setting.,Total,2024,,,,,,"287,820",,,,,,N/A
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Emergency Medical Technicians and Paramedics,Provide care to ill or injured people in emergency medical settings and are a vital component of the nation’s Emergency Medical Services (EMS) system. They also help transport patients from a hospital to another hospital or other care setting.,Total,2025,,,,,,"290,900",,,,,,N/A
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Emergency Medical Technicians and Paramedics,Provide care to ill or injured people in emergency medical settings and are a vital component of the nation’s Emergency Medical Services (EMS) system. They also help transport patients from a hospital to another hospital or other care setting.,Total,2026,,,,,,"293,940",,,,,,N/A
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Emergency Medical Technicians and Paramedics,Provide care to ill or injured people in emergency medical settings and are a vital component of the nation’s Emergency Medical Services (EMS) system. They also help transport patients from a hospital to another hospital or other care setting.,Total,2027,,,,,,"296,910",,,,,,N/A
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Emergency Medical Technicians and Paramedics,Provide care to ill or injured people in emergency medical settings and are a vital component of the nation’s Emergency Medical Services (EMS) system. They also help transport patients from a hospital to another hospital or other care setting.,Total,2028,,,,,,"299,880",,,,,,N/A
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Emergency Medical Technicians and Paramedics,Provide care to ill or injured people in emergency medical settings and are a vital component of the nation’s Emergency Medical Services (EMS) system. They also help transport patients from a hospital to another hospital or other care setting.,Total,2029,,,,,,"302,820",,,,,,N/A
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Emergency Medical Technicians and Paramedics,Provide care to ill or injured people in emergency medical settings and are a vital component of the nation’s Emergency Medical Services (EMS) system. They also help transport patients from a hospital to another hospital or other care setting.,Total,2030,,,,,,"305,770",,,,,,N/A
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Medical and Clinical Laboratory Technologists,"Collect biological samples and perform tests to analyze body fluids, tissues, and other substances.",Total,2016,,,,,,"166,730",,,,,,N/A
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Medical and Clinical Laboratory Technologists,"Collect biological samples and perform tests to analyze body fluids, tissues, and other substances.",Total,2017,,,,,,"169,410",,,,,,N/A
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Medical and Clinical Laboratory Technologists,"Collect biological samples and perform tests to analyze body fluids, tissues, and other substances.",Total,2018,,,,,,"171,620",,,,,,N/A
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Medical and Clinical Laboratory Technologists,"Collect biological samples and perform tests to analyze body fluids, tissues, and other substances.",Total,2019,,,,,,"173,770",,,,,,N/A
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Medical and Clinical Laboratory Technologists,"Collect biological samples and perform tests to analyze body fluids, tissues, and other substances.",Total,2020,,,,,,"175,920",,,,,,N/A
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Medical and Clinical Laboratory Technologists,"Collect biological samples and perform tests to analyze body fluids, tissues, and other substances.",Total,2021,,,,,,"178,040",,,,,,N/A
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Medical and Clinical Laboratory Technologists,"Collect biological samples and perform tests to analyze body fluids, tissues, and other substances.",Total,2022,,,,,,"180,500",,,,,,N/A
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Medical and Clinical Laboratory Technologists,"Collect biological samples and perform tests to analyze body fluids, tissues, and other substances.",Total,2023,,,,,,"182,850",,,,,,N/A
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Medical and Clinical Laboratory Technologists,"Collect biological samples and perform tests to analyze body fluids, tissues, and other substances.",Total,2024,,,,,,"185,160",,,,,,N/A
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Medical and Clinical Laboratory Technologists,"Collect biological samples and perform tests to analyze body fluids, tissues, and other substances.",Total,2025,,,,,,"187,510",,,,,,N/A
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Medical and Clinical Laboratory Technologists,"Collect biological samples and perform tests to analyze body fluids, tissues, and other substances.",Total,2026,,,,,,"189,780",,,,,,N/A
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Medical and Clinical Laboratory Technologists,"Collect biological samples and perform tests to analyze body fluids, tissues, and other substances.",Total,2027,,,,,,"191,980",,,,,,N/A
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Medical and Clinical Laboratory Technologists,"Collect biological samples and perform tests to analyze body fluids, tissues, and other substances.",Total,2028,,,,,,"194,180",,,,,,N/A
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Medical and Clinical Laboratory Technologists,"Collect biological samples and perform tests to analyze body fluids, tissues, and other substances.",Total,2029,,,,,,"196,320",,,,,,N/A
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Medical and Clinical Laboratory Technologists,"Collect biological samples and perform tests to analyze body fluids, tissues, and other substances.",Total,2030,,,,,,"198,440",,,,,,N/A
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Occupational Therapists,"Work with people across the lifespan who have an injury, illness, or disability. Using therapies that involve everyday activities, OTs help individuals maximize their performance and functioning. OTs may assess patients and develop treatment plans designed to improve motor skills, dexterity, and strength.",Total,2016,"104,290",104290,104290,104290,104290,"104,290",,,,,,100%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Occupational Therapists,"Work with people across the lifespan who have an injury, illness, or disability. Using therapies that involve everyday activities, OTs help individuals maximize their performance and functioning. OTs may assess patients and develop treatment plans designed to improve motor skills, dexterity, and strength.",Total,2017,"108,150",107600,108710,107800,108540,"105,750",,,,,,102%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Occupational Therapists,"Work with people across the lifespan who have an injury, illness, or disability. Using therapies that involve everyday activities, OTs help individuals maximize their performance and functioning. OTs may assess patients and develop treatment plans designed to improve motor skills, dexterity, and strength.",Total,2018,"112,210",111100,113340,111500,112870,"107,000",,,,,,105%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Occupational Therapists,"Work with people across the lifespan who have an injury, illness, or disability. Using therapies that involve everyday activities, OTs help individuals maximize their performance and functioning. OTs may assess patients and develop treatment plans designed to improve motor skills, dexterity, and strength.",Total,2019,"115,890",114230,117530,114720,117130,"108,210",,,,,,107%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Occupational Therapists,"Work with people across the lifespan who have an injury, illness, or disability. Using therapies that involve everyday activities, OTs help individuals maximize their performance and functioning. OTs may assess patients and develop treatment plans designed to improve motor skills, dexterity, and strength.",Total,2020,"119,580",117400,121790,117700,121020,"109,550",,,,,,109%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Occupational Therapists,"Work with people across the lifespan who have an injury, illness, or disability. Using therapies that involve everyday activities, OTs help individuals maximize their performance and functioning. OTs may assess patients and develop treatment plans designed to improve motor skills, dexterity, and strength.",Total,2021,"123,200",120440,125940,120900,124910,"110,870",,,,,,111%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Occupational Therapists,"Work with people across the lifespan who have an injury, illness, or disability. Using therapies that involve everyday activities, OTs help individuals maximize their performance and functioning. OTs may assess patients and develop treatment plans designed to improve motor skills, dexterity, and strength.",Total,2022,"126,460",123130,129740,124140,128720,"112,600",,,,,,112%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Occupational Therapists,"Work with people across the lifespan who have an injury, illness, or disability. Using therapies that involve everyday activities, OTs help individuals maximize their performance and functioning. OTs may assess patients and develop treatment plans designed to improve motor skills, dexterity, and strength.",Total,2023,"129,730",125880,133530,127050,132370,"114,340",,,,,,113%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Occupational Therapists,"Work with people across the lifespan who have an injury, illness, or disability. Using therapies that involve everyday activities, OTs help individuals maximize their performance and functioning. OTs may assess patients and develop treatment plans designed to improve motor skills, dexterity, and strength.",Total,2024,"133,010",128590,137320,129810,135710,"116,020",,,,,,115%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Occupational Therapists,"Work with people across the lifespan who have an injury, illness, or disability. Using therapies that involve everyday activities, OTs help individuals maximize their performance and functioning. OTs may assess patients and develop treatment plans designed to improve motor skills, dexterity, and strength.",Total,2025,"136,070",131170,140960,132550,139200,"117,770",,,,,,116%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Occupational Therapists,"Work with people across the lifespan who have an injury, illness, or disability. Using therapies that involve everyday activities, OTs help individuals maximize their performance and functioning. OTs may assess patients and develop treatment plans designed to improve motor skills, dexterity, and strength.",Total,2026,"139,100",133710,144480,135340,142420,"119,490",,,,,,116%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Occupational Therapists,"Work with people across the lifespan who have an injury, illness, or disability. Using therapies that involve everyday activities, OTs help individuals maximize their performance and functioning. OTs may assess patients and develop treatment plans designed to improve motor skills, dexterity, and strength.",Total,2027,"141,980",136050,147890,138050,145630,"121,460",,,,,,117%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Occupational Therapists,"Work with people across the lifespan who have an injury, illness, or disability. Using therapies that involve everyday activities, OTs help individuals maximize their performance and functioning. OTs may assess patients and develop treatment plans designed to improve motor skills, dexterity, and strength.",Total,2028,"145,040",138620,151400,140790,148750,"123,450",,,,,,117%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Occupational Therapists,"Work with people across the lifespan who have an injury, illness, or disability. Using therapies that involve everyday activities, OTs help individuals maximize their performance and functioning. OTs may assess patients and develop treatment plans designed to improve motor skills, dexterity, and strength.",Total,2029,"147,950",141030,154850,143450,151880,"125,390",,,,,,118%
