HPSA.Discipline.Class,HPSA.Score,HPSA.FTE,HPSA.Designation.Population,Common.Region.Name,HPSA.Shortage,HPSA.Designation.Date,Perc.Pop.Below.Poverty,Perc.Pop.Served,HPSA_score_high,prediction,prediction.val
Primary Care,11,3.8,18054,Region 6,1.36,3/1/2020,0.18,0.736678852,0,0.024382774,0
Primary Care,17,13.8673,90190,Region 6,16.1927,10/1/2018,0.176,0.461270651,0,0.024640693,0
Primary Care,15,0.1425,2603,Region 6,0.7275,7/1/2018,0.084,0.164425663,0,0.034547352,0
Primary Care,15,1.25,5262,Region 6,0.25,9/1/2020,0.203,0.831432915,0,0.035136209,0
Primary Care,19,2,14227,Region 8,2.74,10/1/2019,0.461,0.421733324,1,0.982672134,1
Primary Care,15,0.6552,4695,Region 8,0.9048,3/1/2022,0.224,0.418743344,0,0.419091364,0
Primary Care,13,0.9,5337,Region 8,0.62,7/1/2021,0.167,0.590219224,0,0.121869203,0
Primary Care,6,0,770,Region 8,0.26,3/1/2022,0.114,0,0,0.263946985,0
Primary Care,9,0.575,2251,Region 8,0.175,8/1/2021,0.147,0.766326077,0,0.052814049,0
Primary Care,20,0.1,4119,Region 8,1.08,9/1/2017,0.447,0.084972081,1,0.993362148,1
Primary Care,16,0,7423,Region 8,2.47,12/1/2017,0.126,0,0,0.319526439,0
Primary Care,12,0.25,2820,Region 8,0.56,8/1/2021,0.063,0.310283688,0,0.047887361,0
Primary Care,7,0,533,Region 8,0.18,8/1/2021,0.097,0,0,0.206121769,0
Primary Care,8,1.675,6337,Region 8,0.135,8/1/2021,0.098,0.925043396,0,0.011792166,0
Primary Care,17,0.75,10078,Region 8,2.61,5/1/2020,0.201,0.223258583,0,0.469934432,0
Primary Care,14,2.9,27412,Region 9,6.24,8/1/2020,0.156,0.31737925,0,0.041477547,0
Primary Care,14,2.9,27412,Region 9,6.24,8/1/2020,0.156,0.31737925,0,0.041477547,0
Primary Care,16,12.3,69129,Region 9,10.74,1/1/2022,0.246,0.533784663,0,0.046200131,0
Primary Care,10,33.375,106575,Region 9,2.145,5/1/2022,0.285,0.93947924,0,0.002569433,0
Primary Care,10,33.375,106575,Region 9,2.145,5/1/2022,0.285,0.93947924,0,0.002569433,0
Primary Care,18,0.15,26635,Region 9,8.73,1/1/2022,0.22,0.016895063,1,0.344739806,0
Primary Care,12,6.41,56521,Region 9,12.43,8/1/2020,0.157,0.340227526,0,0.030941875,0
Primary Care,14,0.775,5037,Region 9,0.665,6/1/2022,0.157,0.538415724,0,0.024099923,0
Primary Care,14,9.125,42448,Region 9,5.025,6/1/2022,0.298,0.644906709,0,0.102359105,0
Primary Care,16,0.173,7719,Region 5,2.397,3/1/2022,0.127,0.067236689,0,0.096045495,0
Primary Care,12,0,3361,Region 5,1.12,3/1/2022,0.18,0,0,0.262330289,0
Primary Care,13,0.8462,4998,Region 5,0.8238,2/1/2022,0.121,0.508003201,0,0.020829604,0
Primary Care,13,0.425,5558,Region 5,1.165,3/1/2022,0.145,0.267722202,0,0.070229223,0
Primary Care,12,2.6234,10649,Region 5,0.9266,3/1/2022,0.16,0.739036529,0,0.017482934,0
Primary Care,8,1.7582,5724,Region 5,0.1518,12/1/2017,0.162,0.921558351,0,0.011075766,0
Primary Care,10,8.0998,47552,Region 10,7.7502,10/1/2017,0.131,0.510998486,0,0.012813893,0
Primary Care,15,1.341,9212,Region 10,1.729,8/1/2017,0.155,0.436712983,0,0.044822431,0
Primary Care,17,0,7483,Region 10,2.14,7/1/2017,0.172,0,0,0.230751781,0
Primary Care,15,0,20591,Region 10,6.86,10/1/2017,0.132,0,0,0.133221303,0
Primary Care,14,0.432,2863,Region 6,0.518,2/1/2020,0.137,0.452672022,0,0.036469047,0
Primary Care,14,1.2,7916,Region 6,1.44,11/1/2019,0.094,0.454775139,0,0.015414146,0
Primary Care,16,2.6,10950,Region 6,0.53,1/1/2020,0.259,0.831050228,0,0.08416194,0
Primary Care,5,0,336,Region 6,0.11,8/1/2020,0.093,0,0,0.066786157,0
Primary Care,16,1.0688,12920,Region 6,3.2412,11/1/2019,0.14,0.248142415,0,0.070079926,0
Primary Care,13,8.9493,34062,Region 6,2.4007,11/1/2019,0.165,0.788209735,0,0.009307473,0
Primary Care,7,0,568,Region 6,0.16,8/1/2020,0.054,0,0,0.033144911,0
Primary Care,13,7.1184,73306,Region 6,17.3216,9/1/2021,0.273,0.291313126,0,0.360350228,0
Primary Care,18,0,41911,Region 6,13.97,7/1/2021,0.249,0,1,0.640963488,1
Primary Care,18,0,41911,Region 6,13.97,7/1/2021,0.249,0,1,0.640963488,1
Primary Care,18,0,41911,Region 6,13.97,7/1/2021,0.249,0,1,0.640963488,1
Primary Care,17,0,3156,Region 6,0.9,2/1/2020,0.247,0,0,0.572231038,1
Primary Care,11,1.7703,6962,Region 6,0.5497,8/1/2018,0.16,0.762855501,0,0.018696084,0
Primary Care,9,0,1290,Region 8,0.43,3/1/2022,0.104,0,0,0.229474534,0
Primary Care,16,2.325,26898,Region 8,5.365,12/1/2017,0.068,0.302550375,0,0.048109802,0
Primary Care,11,0.3726,1778,Region 8,0.2174,11/1/2018,0.134,0.6287964,0,0.064435734,0
Primary Care,8,1.9107,6223,Region 8,0.1593,3/1/2022,0.142,0.921099148,0,0.026295878,0
Primary Care,14,0,2444,Region 8,0.81,5/1/2020,0.183,0,0,0.57188675,1
Primary Care,14,0,2444,Region 8,0.81,5/1/2020,0.183,0,0,0.57188675,1
Primary Care,14,0,2444,Region 8,0.81,5/1/2020,0.183,0,0,0.57188675,1
Primary Care,8,0,654,Region 8,0.22,3/1/2022,0.128,0,0,0.318287998,0
Primary Care,16,0.9,32438,Region 9,9.91,5/1/2022,0.1,0.083235711,0,0.04004892,0
Primary Care,10,2.05,7716,Region 9,0.15,6/1/2022,0.182,0.929885951,0,0.009861432,0
Primary Care,10,27.055,114327,Region 9,5.605,3/1/2022,0.146,0.828255793,0,0.000582638,0
Primary Care,10,27.055,114327,Region 9,5.605,3/1/2022,0.146,0.828255793,0,0.000582638,0
Primary Care,18,2.85,51049,Region 9,14.17,6/1/2022,0.2,0.167486141,1,0.157602596,0
Primary Care,18,2.85,51049,Region 9,14.17,6/1/2022,0.2,0.167486141,1,0.157602596,0
Primary Care,12,1.75,6271,Region 9,0.04,3/1/2022,0.15,0.976718227,0,0.004804206,0
Primary Care,9,27.5,101329,Region 9,1.45,4/1/2022,0.156,0.949876146,0,0.000419307,0
Primary Care,15,7.5116,71765,Region 9,16.4084,12/1/2017,0.191,0.314011008,0,0.059640197,0
Primary Care,10,0,574,Region 9,0.19,12/1/2017,0.206,0,0,0.268443523,0
Primary Care,18,4.75,104560,Region 9,30.1,12/1/2017,0.272,0.136285386,1,0.472740401,0
Primary Care,19,0.1798,4668,Region 9,1.3802,12/1/2017,0.329,0.115467009,1,0.723445561,1
Primary Care,16,0.7704,9010,Region 9,2.2296,9/1/2021,0.11,0.256492786,0,0.02484073,0
Primary Care,16,0.7704,9010,Region 9,2.2296,9/1/2021,0.11,0.256492786,0,0.02484073,0
Primary Care,12,3,25241,Region 9,4.21,5/1/2017,0.171,0.415989858,0,0.038956181,0
Primary Care,15,3.1996,27033,Region 9,5.8104,5/1/2017,0.168,0.355084526,0,0.04425811,0
Primary Care,12,15.96,65254,Region 9,5.79,7/1/2020,0.15,0.733748123,0,0.002583319,0
Primary Care,9,10.725,53203,Region 9,4.475,6/1/2022,0.109,0.705561716,0,0.002262821,0
Primary Care,13,1.375,6328,Region 9,0.435,7/1/2022,0.114,0.760429836,0,0.005051343,0
Primary Care,16,6.8628,53029,Region 9,10.8172,12/1/2017,0.26,0.388240397,0,0.150870035,0
Primary Care,15,3,17869,Region 9,2.11,6/1/2017,0.259,0.587609827,0,0.106323665,0
Primary Care,8,15.3581,49619,Region 9,1.1819,9/1/2021,0.191,0.928555594,0,0.00295171,0
Primary Care,17,0,59586,Region 9,17.02,5/1/2017,0.189,0,0,0.275023205,0
Primary Care,16,13.8632,76116,Region 9,11.5068,12/1/2017,0.27,0.546402859,0,0.059315838,0
Primary Care,11,14.5815,120679,Region 8,25.6485,2/1/2022,0.158,0.362482288,0,0.08413609,0
Primary Care,13,0.9,11637,Region 8,2.42,7/1/2022,0.027,0.270688322,0,0.02729521,0
Primary Care,13,0.3078,2497,Region 8,0.5222,11/1/2021,0.123,0.369643572,0,0.113911549,0
Primary Care,10,0.6105,2200,Region 8,0.1195,7/1/2022,0.09,0.832727273,0,0.015083091,0
Primary Care,11,0.45,4034,Region 8,0.7,11/1/2021,0.118,0.390431334,0,0.097863344,0
Primary Care,9,0.5095,1748,Region 8,0.0705,11/1/2021,0.165,0.874141876,0,0.053031138,0
Primary Care,11,2.9526,10891,Region 8,0.6774,3/1/2022,0.15,0.813332109,0,0.038431925,0
Primary Care,13,0.464,3553,Region 8,0.716,3/1/2020,0.09,0.391781593,0,0.059639731,0
Primary Care,13,1.3313,8090,Region 6,1.3687,12/1/2017,0.136,0.493695921,0,0.029276819,0
Primary Care,16,3.125,25539,Region 9,5.385,6/1/2022,0.289,0.367085634,0,0.305067134,0
Primary Care,14,0,1711,Region 9,0.57,3/1/2022,0.219,0,0,0.320941198,0
Primary Care,17,0,3166,Region 9,1.06,11/1/2020,0.229,0,0,0.365633186,0
Primary Care,15,7.175,53940,Region 9,10.805,6/1/2022,0.266,0.399054505,0,0.156873046,0
Primary Care,15,7.175,53940,Region 9,10.805,6/1/2022,0.266,0.399054505,0,0.156873046,0
Primary Care,9,27.8,94800,Region 9,3.8,1/1/2022,0.21,0.879746835,0,0.001399008,0
Primary Care,11,20.3,92487,Region 9,10.53,3/1/2022,0.266,0.65847092,0,0.020007731,0
Primary Care,11,20.3,92487,Region 9,10.53,3/1/2022,0.266,0.65847092,0,0.020007731,0
Primary Care,17,0,18283,Region 9,5.22,7/1/2022,0.233,0,0,0.404710149,0
Primary Care,17,0,18283,Region 9,5.22,7/1/2022,0.233,0,0,0.404710149,0
Primary Care,15,3.375,40625,Region 9,8.235,3/1/2022,0.134,0.290756923,0,0.030373218,0
Primary Care,17,0,2994,Region 9,0.86,6/1/2017,0.189,0,0,0.212562997,0
Primary Care,14,12,88277,Region 9,13.22,12/1/2017,0.111,0.475775117,0,0.005103261,0
Primary Care,14,12,88277,Region 9,13.22,12/1/2017,0.111,0.475775117,0,0.005103261,0
Primary Care,16,0.8212,7312,Region 9,1.6188,2/1/2017,0.22,0.336980306,0,0.134434078,0
Primary Care,9,9.8,56307,Region 9,6.29,9/1/2017,0.053,0.609160495,0,0.001218841,0
Primary Care,15,0.685,4678,Region 9,0.875,9/1/2021,0.197,0.439290295,0,0.067827955,0
Primary Care,15,0.685,4678,Region 9,0.875,9/1/2021,0.197,0.439290295,0,0.067827955,0
Primary Care,14,2.0113,17862,Region 9,3.9387,9/1/2021,0.13,0.337812115,0,0.025407132,0
Primary Care,14,2.0113,17862,Region 9,3.9387,9/1/2021,0.13,0.337812115,0,0.025407132,0
Primary Care,17,0.875,11702,Region 9,2.465,6/1/2017,0.178,0.261664673,0,0.083048089,0
Primary Care,16,1.8475,10547,Region 9,1.6725,9/1/2021,0.265,0.525457476,0,0.152553772,0
Primary Care,18,0,4840,Region 9,1.38,6/1/2017,0.364,0,1,0.88181817,1
Primary Care,14,2.986,18556,Region 9,3.204,4/1/2017,0.103,0.482754904,0,0.008725634,0
Primary Care,11,30.6,154117,Region 8,20.77,10/1/2018,0.248,0.595651356,0,0.038911142,0
Primary Care,10,8.6,30101,Region 8,0,7/1/2019,0.087,0.999966779,0,0.003704702,0
Primary Care,10,0,1425,Region 9,0.48,11/1/2020,0.179,0,0,0.181321554,0
Primary Care,17,6.4755,68164,Region 9,16.2445,7/1/2022,0.19,0.284989144,0,0.070503802,0
Primary Care,14,1.8665,13285,Region 9,2.5635,3/1/2022,0.185,0.421528039,0,0.052987381,0
Primary Care,14,1.8665,13285,Region 9,2.5635,3/1/2022,0.185,0.421528039,0,0.052987381,0
Primary Care,15,4.4919,17074,Region 4,1.1981,7/1/2022,0.188,0.789270235,0,0.027558479,0
Primary Care,12,4.55,16182,Region 4,0.07,6/1/2022,0.194,0.984118156,0,0.016529634,0
Primary Care,14,8.7084,39407,Region 4,4.4316,7/1/2022,0.173,0.662953282,0,0.021247426,0
Primary Care,13,3.8,22139,Region 4,2.53,4/1/2022,0.169,0.600749808,0,0.038529723,0
Primary Care,14,40.1751,159703,Region 4,13.0549,2/1/2022,0.187,0.754682129,0,0.000904221,0
Primary Care,10,5.15,20632,Region 4,0.74,3/1/2022,0.181,0.873642885,0,0.017454728,0
Primary Care,18,1,10353,Region 4,1.96,3/1/2022,0.135,0.338066261,1,0.060039825,0
Primary Care,14,16.15,70355,Region 4,7.3,6/1/2022,0.21,0.688650416,0,0.019054225,0
Primary Care,19,2.65,16342,Region 4,2.02,4/1/2022,0.211,0.567555991,1,0.098899925,0
Primary Care,19,1.9,8242,Region 4,0.85,1/1/2022,0.381,0.691579714,1,0.659373144,1
Primary Care,11,1.5066,5814,Region 4,0.4334,3/1/2022,0.179,0.777433781,0,0.032415584,0
Primary Care,10,5.3,26092,Region 4,3.4,3/1/2022,0.22,0.609382186,0,0.080720879,0
Primary Care,15,3.6,12712,Region 4,0.64,3/1/2022,0.233,0.849590938,0,0.056239246,0
Primary Care,13,0.2,14644,Region 4,3.98,5/1/2022,0.172,0.047801147,0,0.267349783,0
Primary Care,14,7.825,33103,Region 4,1.635,5/1/2022,0.172,0.827357037,0,0.01321553,0
Primary Care,16,2.325,18322,Region 4,3.785,7/1/2022,0.191,0.380689881,0,0.126021794,0
Primary Care,12,8.1743,54791,Region 5,10.0857,3/1/2022,0.128,0.447573507,0,0.015970422,0
Primary Care,13,2.4,18222,Region 5,3.67,3/1/2022,0.147,0.39512677,0,0.042664332,0
Primary Care,16,0.3868,2437,Region 5,0.4232,3/1/2022,0.353,0.475995076,0,0.663173577,1
Primary Care,15,0.3594,6364,Region 5,1.7606,12/1/2021,0.099,0.169390321,0,0.042039103,0
Primary Care,7,4.7409,14401,Region 5,0.0591,3/1/2022,0.107,0.987639747,0,0.00233626,0
Primary Care,15,1.1038,8263,Region 5,1.6462,1/1/2022,0.15,0.400701924,0,0.048611201,0
Primary Care,10,74.45,230289,Region 6,2.31,7/1/2021,0.298,0.969868296,0,6.52E-05,0
Primary Care,18,7.7645,80755,Region 6,19.1555,5/1/2020,0.204,0.288452727,1,0.129892827,0
Primary Care,17,0.9,11552,Region 6,2.4,9/1/2017,0.125,0.272680055,0,0.050246596,0
Primary Care,18,0,16860,Region 6,5.62,11/1/2020,0.229,0,1,0.51005612,1
Primary Care,14,0,3173,Region 6,0.91,1/1/2020,0.125,0,0,0.117613143,0
Primary Care,14,2.86,17098,Region 6,2.84,10/1/2018,0.118,0.501813078,0,0.017986562,0
Primary Care,16,0.73,12217,Region 6,3.34,2/1/2020,0.126,0.17925841,0,0.06948382,0
Primary Care,10,9.5,29084,Region 6,0.19,7/1/2021,0.271,0.979920231,0,0.033227728,0
Primary Care,15,0,17129,Region 6,4.89,7/1/2021,0.176,0,0,0.275430911,0
Primary Care,10,71.8633,234798,Region 6,6.4067,7/1/2019,0.282,0.918193511,0,8.07E-05,0
Primary Care,10,71.8633,234798,Region 6,6.4067,7/1/2019,0.282,0.918193511,0,8.07E-05,0
Primary Care,13,32.8,138940,Region 9,13.51,3/1/2022,0.276,0.708219375,0,0.005937967,0
Primary Care,17,0.396,4916,Region 9,1.244,7/1/2022,0.248,0.241659886,0,0.270121586,0
Primary Care,9,7.04,65540,Region 9,14.81,8/1/2020,0.143,0.322245957,0,0.024781712,0
Primary Care,21,0,14426,Region 9,4.12,5/1/2017,0.438,0,1,0.96971493,1
Primary Care,21,0,14426,Region 9,4.12,5/1/2017,0.438,0,1,0.96971493,1
Primary Care,14,2,12146,Region 9,1.47,5/1/2017,0.075,0.576321423,0,0.004146807,0
Primary Care,12,0,10466,Region 9,2.99,12/1/2017,0.137,0,0,0.095549709,0
Primary Care,17,0.1704,1590,Region 9,0.3596,9/1/2017,0.325,0.321383648,0,0.553868934,1
Primary Care,16,1.694,17414,Region 9,4.106,9/1/2021,0.112,0.291834156,0,0.021770124,0
Primary Care,16,1.694,17414,Region 9,4.106,9/1/2021,0.112,0.291834156,0,0.021770124,0
Primary Care,16,1.694,17414,Region 9,4.106,9/1/2021,0.112,0.291834156,0,0.021770124,0
Primary Care,14,0.42,3227,Region 9,0.66,9/1/2021,0.149,0.390455531,0,0.033901638,0
Primary Care,19,3.6112,36754,Region 9,8.6388,12/1/2017,0.375,0.294770637,1,0.739361299,1
Primary Care,9,4.6,37210,Region 9,6.03,6/1/2017,0.127,0.432679387,0,0.01451716,0
Primary Care,9,4.6,37210,Region 9,6.03,6/1/2017,0.127,0.432679387,0,0.01451716,0
Primary Care,17,0,7525,Region 9,2.51,9/1/2021,0.196,0,0,0.241071639,0
Primary Care,17,0,7525,Region 9,2.51,9/1/2021,0.196,0,0,0.241071639,0
Primary Care,17,0.4854,6159,Region 9,1.5646,12/1/2018,0.181,0.236402013,0,0.095593753,0
Primary Care,21,1,10648,Region 9,2.04,5/1/2017,0.463,0.328700225,1,0.940040813,1
Primary Care,21,1,10648,Region 9,2.04,5/1/2017,0.463,0.328700225,1,0.940040813,1
Primary Care,11,7.4158,35879,Region 10,4.5442,9/1/2017,0.143,0.6200563,0,0.011520513,0
Primary Care,13,2.2115,9877,Region 10,1.0785,8/1/2021,0.189,0.671661436,0,0.036841667,0
Primary Care,13,5.7101,29428,Region 10,4.0999,8/1/2021,0.128,0.582098682,0,0.011609139,0
Primary Care,13,5.7101,29428,Region 10,4.0999,8/1/2021,0.128,0.582098682,0,0.011609139,0
Primary Care,9,13.0576,44571,Region 4,1.8024,4/1/2022,0.154,0.878889861,0,0.004580428,0
Primary Care,9,13.0576,44571,Region 4,1.8024,4/1/2022,0.154,0.878889861,0,0.004580428,0
Primary Care,16,0.35,2122,Region 4,0.36,3/1/2022,0.2,0.494816211,0,0.120775515,0
Primary Care,17,1.38,7791,Region 4,1.22,3/1/2022,0.269,0.531382364,0,0.291452862,0
Primary Care,15,1.37,10772,Region 4,2.22,3/1/2022,0.185,0.381544746,0,0.121085515,0
Primary Care,12,3.96,16486,Region 4,1.54,3/1/2022,0.112,0.720611428,0,0.008831761,0
Primary Care,11,11.4,35308,Region 4,0.37,3/1/2022,0.185,0.96861901,0,0.007161663,0
Primary Care,10,60.665,218938,Region 4,12.315,3/1/2017,0.148,0.831262732,0,3.86E-05,0
Primary Care,12,5,17752,Region 4,0.92,3/1/2022,0.205,0.844975214,0,0.029966872,0
Primary Care,8,41.4538,141281,Region 4,5.6362,3/1/2017,0.145,0.880238673,0,0.000208246,0
Primary Care,12,3.09,11168,Region 4,0.63,4/1/2022,0.201,0.830050143,0,0.035237589,0
Primary Care,19,6.55,40079,Region 4,6.81,5/1/2019,0.252,0.490281694,1,0.179891813,0
Primary Care,17,0.67,11693,Region 4,3.23,4/1/2022,0.188,0.171897717,0,0.236968175,0
Primary Care,19,1.7,19202,Region 4,4.7,5/1/2022,0.219,0.265597334,1,0.276920461,0
Primary Care,15,1.4,11940,Region 4,2.58,3/1/2022,0.134,0.351758794,0,0.054765848,0
Primary Care,16,1.39,12169,Region 4,2.67,4/1/2022,0.152,0.342674008,0,0.077514214,0
Primary Care,16,1.39,12169,Region 4,2.67,4/1/2022,0.152,0.342674008,0,0.077514214,0
Primary Care,18,1.54,8163,Region 4,1.18,3/1/2022,0.188,0.565968394,1,0.072658923,0
Primary Care,18,1.84,15307,Region 4,3.26,3/1/2022,0.185,0.360619324,1,0.12504421,0
Primary Care,17,0.27,2250,Region 4,0.48,4/1/2022,0.285,0.36,0,0.51468961,1
Primary Care,13,1.65,6067,Region 4,0.37,4/1/2022,0.197,0.815889237,0,0.039401022,0
Primary Care,15,0.638,6879,Region 10,1.652,12/1/2021,0.094,0.278238116,0,0.025614402,0
Primary Care,16,0.511,10281,Region 10,2.919,7/1/2018,0.162,0.149110009,0,0.129305338,0
Primary Care,16,0.511,10281,Region 10,2.919,7/1/2018,0.162,0.149110009,0,0.129305338,0
Primary Care,13,0.7976,5069,Region 6,0.8924,8/1/2021,0.12,0.472085224,0,0.024404755,0
Primary Care,13,0.2765,1329,Region 8,0.1635,9/1/2018,0.167,0.624529722,0,0.116186574,0
Primary Care,17,2.9313,21753,Region 4,4.3187,8/1/2021,0.203,0.404266078,0,0.137301414,0
Primary Care,17,0,3585,Region 4,1.2,7/1/2021,0.134,0,0,0.165852344,0
Primary Care,17,0.486,8404,Region 4,2.314,7/1/2017,0.179,0.173488815,0,0.207052266,0
Primary Care,14,0.738,6889,Region 2,1.562,11/1/2019,0.14,0.321381913,0,0.005305566,0
Primary Care,16,16.3868,109639,Region 2,20.1632,12/1/2018,0.382,0.448380594,0,0.086937605,0
Primary Care,14,25.523,144858,Region 2,22.767,6/1/2022,0.12,0.528579713,0,0.000209322,0
Primary Care,11,9.9156,49479,Region 4,6.5744,4/1/2022,0.195,0.601204551,0,0.03540702,0
